v1,v2,v3,J,Ka,Kc,E,unc
0,0,0,16,7,9,2117.003594,472.1
0,1,0,13,0,13,2118.381919,172.7
0,1,0,13,1,13,2118.386200,183.1
0,0,0,20,0,20,2123.259535,348.1
0,0,0,20,1,20,2123.260248,371.4
0,1,0,11,3,8,2124.880240,67.0
0,0,0,13,11,2,2147.718600,11.4
0,0,0,13,11,3,2147.718600,12.0
0,0,0,14,10,4,2154.703783,304.0
0,0,0,14,10,5,2154.704313,133.3
0,1,0,11,4,8,2159.258747,119.2
0,0,0,12,12,1,2162.027271,12.0
0,0,0,12,12,0,2162.027271,12.0
0,0,0,17,5,12,2167.117480,12.0
0,1,0,11,4,7,2176.472550,110.7
0,0,0,15,9,7,2184.862492,478.6
0,0,0,15,9,6,2184.864561,191.7
0,0,0,18,3,15,2200.027330,418.3
0,0,0,18,4,15,2200.981498,419.8
0,1,0,12,2,10,2209.170357,118.1
0,1,0,12,3,10,2213.631945,150.7
0,0,0,17,6,12,2213.776023,498.4
0,1,0,10,6,5,2220.640744,142.5
0,1,0,10,6,4,2220.696182,116.6
0,1,0,9,7,2,2221.025832,146.1
0,1,0,9,7,3,2221.025905,134.2
0,0,0,17,6,11,2234.137542,537.1
0,0,0,16,8,9,2240.647560,12.0
0,0,0,16,8,8,2240.790785,438.8
0,1,0,8,8,1,2249.180789,12.0
0,1,0,8,8,0,2249.180789,12.0
0,1,0,13,1,12,2249.652190,76.5
0,1,0,13,2,12,2249.811037,121.0
0,1,0,11,5,7,2250.478874,102.5
0,1,0,11,5,6,2252.936694,132.5
0,1,0,14,0,14,2257.307871,167.3
0,1,0,14,1,14,2257.309210,190.6
0,0,0,19,2,17,2270.017058,560.9
0,0,0,19,3,17,2270.050696,461.2
0,1,0,12,3,9,2280.211557,115.9
0,1,0,12,4,9,2306.116170,120.1
0,0,0,20,2,19,2312.992860,12.0
0,0,0,20,1,19,2312.993801,616.4
0,0,0,18,4,14,2314.233747,526.0
0,0,0,14,11,3,2320.953220,12.0
0,0,0,14,11,4,2320.953220,11.4
0,0,0,18,5,14,2322.458629,523.1
0,0,0,13,12,1,2323.878799,12.0
0,0,0,13,12,2,2323.878799,12.0
0,0,0,17,7,11,2324.752578,517.5
